iter	Passed	Remaining
0	8	2416
1	14	2156
2	21	2087
3	27	2022
4	32	1919
5	39	1919
6	45	1886
7	51	1888
8	57	1875
9	64	1863
10	70	1863
11	76	1847
12	83	1845
13	89	1833
14	96	1830
15	102	1826
16	111	1857
17	118	1859
18	127	1881
19	133	1871
20	139	1859
21	145	1843
22	152	1836
23	159	1837
24	166	1833
25	172	1819
26	178	1808
27	185	1798
28	191	1793
29	199	1793
30	205	1783
31	211	1772
32	218	1763
33	223	1750
34	229	1740
35	236	1733
36	242	1726
37	248	1715
38	254	1702
39	260	1690
40	265	1679
41	271	1668
42	277	1659
43	284	1652
44	291	1652
45	297	1644
46	303	1633
47	309	1624
48	315	1614
49	320	1604
50	327	1597
51	333	1591
52	339	1581
53	345	1574
54	351	1565
55	357	1556
56	363	1548
57	368	1539
58	375	1532
59	382	1530
60	389	1526
61	395	1517
62	400	1508
63	406	1499
64	412	1491
65	418	1484
66	424	1476
67	432	1474
68	438	1466
69	443	1458
70	449	1450
71	455	1441
72	462	1437
73	469	1434
74	475	1427
75	481	1419
76	487	1410
77	493	1403
78	499	1396
79	505	1389
80	511	1382
81	517	1374
82	523	1367
83	529	1360
84	535	1353
85	541	1347
86	547	1340
87	553	1333
88	562	1332
89	567	1324
90	573	1317
91	579	1309
92	584	1301
93	590	1294
94	596	1286
95	601	1278
96	607	1271
97	613	1264
98	619	1257
99	625	1250
100	631	1243
101	637	1236
102	643	1230
103	648	1222
104	654	1216
105	659	1206
106	667	1203
107	673	1197
108	677	1187
109	684	1182
110	690	1175
111	696	1168
112	702	1162
113	708	1155
114	714	1148
115	719	1141
116	725	1135
117	731	1128
118	737	1121
119	742	1113
120	748	1106
121	754	1100
122	760	1094
123	766	1088
124	773	1082
125	779	1076
126	785	1070
127	791	1063
128	797	1057
129	803	1050
130	809	1044
131	813	1035
132	819	1028
133	824	1021
134	830	1015
135	836	1008
136	841	1001
137	847	995
138	853	988
139	859	982
140	866	977
141	873	971
142	880	967
143	887	960
144	892	954
145	898	948
146	904	941
147	910	935
148	916	928
149	922	922
150	928	916
151	935	910
152	941	904
153	947	898
154	953	891
155	961	887
156	967	881
157	973	875
158	980	869
159	986	863
160	993	857
161	999	851
162	1006	845
163	1012	839
164	1018	833
165	1023	826
166	1029	819
167	1034	813
168	1040	806
169	1046	800
170	1053	794
171	1059	788
172	1065	781
173	1071	775
174	1077	769
175	1082	762
176	1087	755
177	1092	749
178	1098	742
179	1104	736
180	1111	731
181	1117	724
182	1123	718
183	1129	711
184	1135	705
185	1141	699
186	1150	694
187	1156	688
188	1162	682
189	1167	676
190	1173	669
191	1178	663
192	1184	656
193	1190	650
194	1197	644
195	1204	638
196	1209	632
197	1215	626
198	1221	619
199	1227	613
200	1233	607
201	1240	601
202	1246	595
203	1253	589
204	1259	583
205	1265	577
206	1270	571
207	1276	564
208	1283	558
209	1289	552
210	1295	546
211	1301	540
212	1307	534
213	1314	528
214	1319	521
215	1325	515
216	1335	510
217	1341	504
218	1348	498
219	1353	492
220	1360	486
221	1366	480
222	1372	474
223	1379	467
224	1385	461
225	1390	455
226	1396	449
227	1402	443
228	1408	436
229	1414	430
230	1421	424
231	1428	418
232	1434	412
233	1441	406
234	1448	400
235	1456	394
236	1463	389
237	1470	383
238	1477	377
239	1483	370
240	1489	364
241	1495	358
242	1501	352
243	1507	345
244	1513	339
245	1520	333
246	1527	327
247	1532	321
248	1539	315
249	1545	309
250	1551	302
251	1557	296
252	1562	290
253	1568	284
254	1574	277
255	1580	271
256	1587	265
257	1593	259
258	1598	253
259	1605	246
260	1611	240
261	1617	234
262	1623	228
263	1632	222
264	1642	216
265	1648	210
266	1656	204
267	1663	198
268	1671	192
269	1678	186
270	1685	180
271	1691	174
272	1699	168
273	1705	161
274	1712	155
275	1719	149
276	1725	143
277	1733	137
278	1739	130
279	1746	124
280	1752	118
281	1759	112
282	1765	106
283	1772	99
284	1778	93
285	1784	87
286	1790	81
287	1797	74
288	1803	68
289	1809	62
290	1817	56
291	1824	49
292	1830	43
293	1837	37
294	1843	31
295	1852	25
296	1858	18
297	1863	12
298	1870	6
299	1875	0
